,text,sentiment,value
6242,Getting self nice cup tea turn music,positive,1
6243,Err I get Now TimThumb url,neutral,0
6244,Oh ... Placebo tix Tori Amos go sale 9am Anticipating hot cake distribution,negative,-1
6245,still half math worksheet science WB pages worksheet english go feels sniffle dry eyes coming along,neutral,0
6246,_Kay planted garden last week ive got check,neutral,0
6247,I saw tweet couple weeks ago hashtag wanted contribute since I huge Mitch fan,positive,1
6248,That ok .... I accept slave role ... Your wish command ... hahaha,neutral,0
6249,im tired miss dionee already,negative,-1
6250,An expense I could without moment,neutral,0
6251,plane tickets expensive,negative,-1
6252,unfortunately I choose sleep gym almost everyday trying get,negative,-1
6253,He needs go back Scotty That using last year,positive,1
6254,I want apply jobs,neutral,0
6255,haha chance I tweet rubbish back,negative,-1
6256,woke .. busy busy busy 2day ... bake bbyshower cupcakes jays bday cake bleach hair see boo,neutral,0
6257,I really say much none set stone .. I planning charity concert Cystic Fibrosis,neutral,0
6258,life changing redhead got away,neutral,0
6259,I MAJOR CRAMPLES,negative,-1
6260,Whaaaaaaaaaat Thas HOT B Super nice,positive,1
6261,hey waiting final edits cover 'sombody baby wait input,neutral,0
6262,many good shows coming money buy tickets fmfl brand new troub,positive,1
6263,6:29 pm ok let go bowman strategicClock first .. break -0 aargh .. tired,negative,-1
6264,saw Costa St Pancras didnt much time drink next time try,neutral,0
6265,Grrrr .... I got wrong size coat sheep,negative,-1
6266,_McFlyy FINALY MY CHANCE HAS CAME TO KILL YOU MWAHAHA ha cool ha,neutral,0
6267,OHHH bad yes heh heh,negative,-1
6268,Totally unsurprised Dave coming back 10 But Annalisa wrong opposite big warm mellow Dave,negative,-1
6269,Need nap I take 4 trains,neutral,0
6270,Just got back I absolutely exhausted 5 hours work,negative,-1
6271,PEN JAM CLEARED CLICK,neutral,0
6272,I KNOW Its stormy outside .. hair looks cute today .. hahah,positive,1
6273,Ahh okay makes sense start preparations,positive,1
6274,gaaay,neutral,0
6275,juss dropped wife I love,positive,1
6276,Early Monday great Rainy Monday great,negative,-1
6277,wonders end ... hay ... http //plurk.com/p/wy9wi,negative,-1
6278,http //twitpic.com/4jam0 Oh beautiful I happy great time Heartz,positive,1
6279,Better getting mad using floor,neutral,0
6280,iPhone 'not opening downloaded apps thing I forgot cord home,negative,-1
6281,Didn get go wakeboarding good cause lush night,positive,1
6282,made laugh Sorry Grets going Pool Room,neutral,0
6283,gooooooood night cant believe tomoroo cancelled still gon na giid night GNI cant beat,neutral,0
6284,Feeling Today way stressful,negative,-1
6285,gah money ..... least bakugan,negative,-1
6286,Yeah actually went room I look counter,neutral,0
6287,Happy Monday Lots little things today Tried water plants front early jammies Got caught two neighbors,positive,1
6288,Take away,neutral,0
6289,:Mother Happy Mother Day .... Mom ...... God Bless yhaw ...,positive,1
6290,thinking lots revision tomorrow woo hope sunny one,positive,1
6291,go movies,neutral,0
6292,I post later Its comp,neutral,0
6293,awww wish I Have brew B,positive,1
6294,Ntah I really wan na,positive,1
6295,starting love twitter Facebook-detox diet working great,positive,1
6296,OMG ... heater room day school boiling,negative,-1
6297,I LOVE CHICAGO Tonight AMAZING,positive,1
6298,gim wan na try Soulja Boy Tell Em LIVE live http //ustre.am/2UhS,neutral,0
6299,You welcome course,positive,1
6300,May 4th,positive,1
6301,wow ... leave facebook alone weekend get 60 new notifications WHEW,positive,1
6302,ugh im crying writing rant tumblr,negative,-1
6303,Not even better Kapsel cha Dy nulis notes Spertinya gw ga ditag cuz g ada notificationnya ... Huhu,negative,-1
6304,like goo goo dolls Then I heard 'iris absolutely loved,positive,1
6305,Getting ready go study outside fun nice sunny day,positive,1
6306,So anyone yucky new throwback pepsi mountain dew yet If plan keeping around I drinking,negative,-1
6307,Ashley= getting sick ... Ugh I losing voice Nooo,negative,-1
6308,I dont like dentist ... make gums hurt,negative,-1
6309,woke napping finally got sleep needed,positive,1
6310,Ugh .. Fricken Internet Can like 0 work without I want back college connection,negative,-1
6311,Heading south I-95 Jacked mess around SR 234,neutral,0
6312,wud im work srry,neutral,0
6313,I got leavers dress,neutral,0
6314,feel esp know u aint done wrong 3 U,positive,1
6315,Im home phone died thou,negative,-1
6316,Can believe spending lunch break inside desk,positive,1
6317,problems sending images Twitterberry mine want work,negative,-1
6318,My new design portfolio finally online http //www.designia.nl Still needs tweaking details ok,neutral,0
6319,I mind whistlers actually whistling tune whistle nothing drive crazy,positive,1
6320,This world makes sad,negative,-1
6321,sure ill follow hun ohh thank subscriber youtube,positive,1
6322,I think plus everyone wants see D-train could keep going obviously Hopefully bounce back,positive,1
6323,mmm athletic,neutral,0
6324,Missing Everyone,negative,-1
6325,Playing Monopoly Jr. lil one .. Cheating much fun person absolutely idea,neutral,0
6326,im gon na fail test miserably history,negative,-1
6327,never expected hear Beastie Boys Star Trek movie ... super great flick though pew peww -- phasers,positive,1
6328,THIS WEBSITE GAVE ME A VIRUS When opened windows kept POPPING,negative,-1
6329,sarcy usual,negative,-1
6330,I skip school way often I rather proud actually,positive,1
6331,lol liking style Alice tell got standards maintain lol national Cork girls go wild london week,positive,1
6332,Why guys use camera angles make look like 200 people building,neutral,0
6333,I lOve day No school -- studyin quietly,positive,1
6334,I got paint hair,neutral,0
6335,Hello hope flu,positive,1
6336,Home Should bed I super duper excited tomorrow,positive,1
6337,haciendo mi primer app con Thin Rack crazy stuff ...,positive,1
6338,feet really hurt ...,negative,-1
6339,sooooo dropped phone text tweet currently banging face spike covered poison ivy infested wall,negative,-1
6340,nobody loves twitter,negative,-1
6341,_finn_ Except I dropped break got ding side At least screen,neutral,0
6342,enough today good night,positive,1
6343,spent morning watching Eddie Izzard Glorious SO funny ... realli shud hav studied thou ...,positive,1
6344,Lmao I camping water shower well water smelt nasty,negative,-1
6345,switch something else,neutral,0
6346,got back Mcfly concert ahh amazing I love David Archuleta,positive,1
6347,getttin ready,neutral,0
6348,dont think vote anymore tried,negative,-1
6349,bother celebs eh cause almost like talking,negative,-1
6350,DON T PANIC Hehe fine Email,neutral,0
6351,Iiight thanks,positive,1
6352,Constructivist learning theory anybody Oh wait ..... always wikipedia right,neutral,0
6353,The epic weekend I atleast year Night cap _matthes 2 hours sleep 3 days Goodnight,positive,1
6354,yes lol,neutral,0
6355,But breathe OK,neutral,0
6356,Hey babe follow love u da show,positive,1
6357,I inclined think stupid,negative,-1
6358,Good morning Yes 5:57am,neutral,0
6359,There baby cardinal fallen nest I dont want get attacked mom bird dont want dog get bird,neutral,0
6360,I heard away I miss Look forward tweeting return,negative,-1
6361,KMF going smoothly far Free stuff always plus,positive,1
6362,I hoping I could drop ~/.vim Vim MacVim could share,positive,1
6363,Oh means able get pwned shottie weekend,neutral,0
6364,We really offer service web/graphic designers desktop publishers So I thought maybe could help,neutral,0
6365,SUNNY DAY going Stonehenge parents ...,neutral,0
6366,At rehearsal ... gon na miss game please keep updated Go Nuggets,negative,-1
6367,_west one day hubs I WILL take one There actually missions cruise want go It music,neutral,0
6368,Happy Mothers Day allergies Oh I hope Miller better day,positive,1
6369,thats bummer got one yet waiting year grrrrrrrrrrrrrrr,negative,-1
6370,superstar mean,neutral,0
6371,watching HGTV 236am lol wtf must love home decor,neutral,0
6372,In bed eating chocolates 2 super parties yay playing new camera could I amazing photographer,neutral,0
6373,yeah keep mid section,neutral,0
6374,For everything ok except install crashed end Safari crashes every cmd+Q,neutral,0
6375,omg book soo funny,positive,1
6376,Morning Are u back blighty Bill Hope u lovely time away,positive,1
6377,Passing early river sounds amazing To cozy bed cozy dogs,positive,1
6378,heyy watching simpson shezza paula,neutral,0
6379,hi Add shannen,neutral,0
6380,right im jealous wish gangsterrrr pants like grandma,negative,-1
6381,hey twitter back online,neutral,0
6382,Lupo bit far methinks luv They hour way Providence I love Providence,positive,1
6383,Happened day Was wearing necklace made white spot chest,neutral,0
6384,Never touched drop,neutral,0
6385,college graduate,neutral,0
6386,ah Hate happens The Race Erase MS week Are going,negative,-1
6387,It crazy day today I feeling going way tomorrow Enjoy couple days though,neutral,0
6388,pretty tired nice full day,positive,1
6389,Happy Star Wars Day Im going make pasta get showered dressed watch films I like days I 3 days,positive,1
6390,_SUPRNATURAL ok thanx much u send answer private mail u like would sooo cool wish birmingham,positive,1
6391,gone 6 tea bags call obbsessed say thirsty,neutral,0
6392,_Molecule Sackiroth,neutral,0
6393,It perfect outside work,positive,1
6394,Feeling like today Hopefully nice relaxing swim trick,neutral,0
6395,This great I found Star Wars Day 'May 4th Have hugged Ewok today,positive,1
6396,Wah sad,neutral,0
6397,Has long day Matinee evening show Will sad tomorrow last ever Welsh College show,negative,-1
6398,thanks one hit patron since 2001,positive,1
6399,It time TSCC,neutral,0
6400,Back Athens Had great time Budapest,positive,1
6401,Whole Earth Festival,neutral,0
6402,check funny movie http //tinyurl.com/d3qwar,positive,1
6403,So lost owm tryinh find matter o2,neutral,0
6404,well us Brits wait days I thought gon na released I guess worth wait,positive,1
6405,happy mothers dayy,positive,1
6406,got tickets go dad girlfriend see Eric Clapton Steve Winwood Arc Angels June 24th Toyota Center WOO,positive,1
6407,Beautiful morning mountains,positive,1
6408,I broke bottle I probably focus work instead thinking songgoeswrongs,neutral,0
6409,Whoa man THAT great one I went Heaven 5 seconds U know lah pls shhh LOL So sorry u,neutral,0
6410,My car car hospital nxt 7 days I got ta go pick loaner car b4 6 Bein without wheels 4 7day set back heavy,neutral,0
6411,ouuhh dont cry feel sad right,negative,-1
6412,I find via twitter,neutral,0
6413,snotty nose poorly chest good,negative,-1
6414,John john I switched meaning PIMP someone still pwns halo wasted hahahaha Another amazing night,positive,1
6415,http //bit.ly/qiPUU Jon 4 Lakers Video Blackberry,neutral,0
6416,photos niceeeee,positive,1
6417,G morning Twitter World A relaxing family Sunday methinks,positive,1
6418,got mine wouldnt let call,neutral,0
6419,never answer ...,negative,-1
6420,sunny I workin It much progress Will let know,neutral,0
6421,http //twitpic.com/4jb0q And,neutral,0
6422,On bus NYC http //yfrog.com/08kaifj,neutral,0
6423,gon na miss dont worry sure,neutral,0
6424,home work today ..... son sick,negative,-1
6425,_n_booklife I heard ... seems overreaction ...,negative,-1
6426,chilled day party tomorrow,neutral,0
6427,yes ready go got ugh sooo pretty outside ..,positive,1
6428,Ryan Stiles still funniest man ever Got great news great news tonight So happy I could burst,positive,1
6429,bad work ...,negative,-1
6430,explore site 2 find cool stuff,positive,1
6431,Annoyed,negative,-1
6432,_Girl OOC sorry keep missing ...,negative,-1
6433,And U Brilliantly sweetie Blessings Joy,positive,1
6434,Is back school working bach.project,neutral,0
6435,least firmware upgrade buying time I get tax return really,neutral,0
6436,weekends abouttttto SUCK,negative,-1
6437,I mind Sam But I liked Kate I like Chris He smarmy,negative,-1
6438,Thanks Gifford Lectures page,positive,1
6439,BTW I STILL believe Awesome NEWJABBAKIDZ performance ... U masks .. I screamed pc,positive,1
6440,_chapman whuffaoke night Gillette Stadium,neutral,0
6441,Madly love The Row .. wishing money,positive,1
6442,Babysitting Text keep company,neutral,0
6443,I MISS U CEDDY,negative,-1
6444,Happy Mother Day mothers,positive,1
6445,I never seen X Men films supposed good I thought,positive,1
6446,_w thank ..,positive,1
6447,I got copy yesterday although right I digging Scala read yet ...,negative,-1
6448,Good I think I joining later I hyper hell though WHEE,positive,1
6449,found friend dad passed away yesterday,negative,-1
6450,This wraps Well lesson take photos famous Or maybe really,neutral,0
6451,twitter facebook myspace ... phone still,neutral,0
6452,Wanted take photo storm misplaced camera,neutral,0
6453,Indeed Have nice week,positive,1
6454,im home .... friday night good,positive,1
6455,You made look old pictures cats I want kitties,neutral,0
6456,I know I barely believe almost Thanks review lovely,positive,1
6457,Well 6 get call back oh well,neutral,0
6458,I know Mom gave clean Macbook SO white It tinted grayish blue black desk,positive,1
6459,Just horrible experience dentist Had crown made fit right fix give back money,negative,-1
6460,got sold UP,neutral,0
6461,Don count,negative,-1
6462,Playing games I leave work Work til least 11PM tonight,neutral,0
6463,great saying I old 28,positive,1
6464,Am good thanks Miami saying How come u wrote,positive,1
6465,wish I sleeping Got ta work less 4 hours ... Wait u,neutral,0
6466,fun flashy fed hill .. im sure imported cheeto eating fit lol,positive,1
6467,Looks like rain Oh well give chance work new crochet pattern I works,positive,1
6468,It weekend sunny ..... I got another puncture,negative,-1
6469,My 2 favorite things Fuzzball Swine Flu http //tinyurl.com/dhpol7,positive,1
6470,What reading,neutral,0
6471,rhinitis boohooo poor nose,negative,-1
6472,3rd day pain,neutral,0
6473,Sweet deal I want see movie Methinks may Star Trek movie night time hmm,positive,1
6474,hahahaha omg win internetz today 'Why trying turn Zac Efron hahaha,positive,1
6475,_music aah stopped getting updates home page saddd .. im guna re-follow .. worked tswift,negative,-1
6476,darn go WHOLE weekend without em,negative,-1
6477,headache colds ...,negative,-1
6478,hungry appetite,negative,-1
6479,This 'Monarchy gon na bleed ALL us dry We nothing slaves pigs D.C I reconize country anymore,negative,-1
6480,A lovely weekend away Kits Coty relaxed well rested ready week ahead Back NNC two weeks,positive,1
6481,I 2 hoes .. I none,neutral,0
6482,Ok getting pink stripey one subtle I bit bored floral print Ok,negative,-1
6483,HEY BABEE LOVE YOOOOUUU RP time,positive,1
6484,uft im tutoring lil sis shes cute even though shes eighth grader p,positive,1
6485,wow thats impressive luckily im rush feel friends getting younger cant move house tricky,neutral,0
6486,Sitting Everyone took good seats,positive,1
6487,_PaulEvans heyyyyy boo,neutral,0
6488,going drink mojito lay watch movies hubby Goodnight fellow tweeters,positive,1
6489,maybe need start 'wholey created evolution 'wholely composed matter flickr group,neutral,0
6490,crazy fun You make man nice Sri Lanka spiritual place yes,positive,1
6491,Happy Mother Day Mothers,positive,1
6492,And figuring watch Middlesbrough games next year dreaded drop,neutral,0
6493,jealous family amazing breakfast get rice crispies,neutral,0
6494,maxin relaxin almost bed time,neutral,0
6495,This I got best dressed,positive,1
6496,In university hungry,neutral,0
6497,kids summer/ pool taken over/ tanning girls haiku yayschoolisout sarcasm,neutral,0
6498,haha sucks actually mine worse mines ft math eww,negative,-1
6499,Happiness like peeing pants ... nobody see feel warm sensation,positive,1
6500,sooo tired I wish I time nap work,negative,-1
6501,I dont get twitter Someone help,neutral,0
6502,know u r wont til 6pm service .. u,neutral,0
6503,Top 20 ways go green http //tinyurl.com/otjttu pretty helpful kinda cool actually,positive,1
6504,It Raining,neutral,0
6505,workplace short-sleeved shirt absolutely necessary today,neutral,0
6506,Cant sleeeeep miss long hairrr,negative,-1
6507,I want .... LOL I got coffee ha ha,neutral,0
6508,Finally upgraded Spotify premium exceeded threshold awesomeness time ago Now iPhone app remote,positive,1
6509,You retweet others good tweets least 10 day get involved things twitter,positive,1
6510,And sun back Could kind weather last January February I like jackets,positive,1
6511,Recogns could get assignments way June bring,neutral,0
6512,better get sleep soon get go Sunday meetin pass invites jewelery party,neutral,0
6513,congratulation icehockey victory switzerland ..,positive,1
6514,You go www.TwitPic.com log Twitter details add pics,neutral,0
6515,hey much,neutral,0
6516,stayn home school sick doc says I bronchitis,negative,-1
6517,yummmm make sure u leave 4 im home cleaning working mad hard,negative,-1
6518,says I LOVE YOU MOM http //plurk.com/p/svm0w,positive,1
6519,"download iEmoticons AppStore 0,79ï¿½ But cool",neutral,0
6520,Relaxing,positive,1
6521,hi kendra whats follow,neutral,0
6522,relaxing night home best people,positive,1
6523,Anyone twitter issues It eating tweets,neutral,0
6524,know list miss b/c conflicting plans go,negative,-1
6525,work depressing hell want someone fukin come holiday august,negative,-1
6526,It Wish one area,positive,1
6527,back work warm today,negative,-1
6528,Now question 140 characters One history great unanswered I would say,positive,1
6529,ok actually going sleep hour ... tweet far much already,neutral,0
6530,thanks following pretty complicated id lol,neutral,0
6531,ur taking tease lessons guys No fair LOL oh well wait patiently,neutral,0
6532,I miss,negative,-1
6533,going take sociology exam back bed,neutral,0
6534,going bed soon,neutral,0
6535,wow I feel like ish I really feel bad ignorent aholes wont overturn prop 8,negative,-1
6536,_prototype09 I working bit,neutral,0
6537,This going great productive week I feel POSITIVE THINKING key,positive,1
6538,firefly weekend SciFi channel I happy man,positive,1
6539,Worried Arabelle Tweet please Or text,negative,-1
6540,hmm ... blog let post comment,negative,-1
6541,im backkkk hungry hell havent ate today,negative,-1
6542,Feel depressed I save ... Thanks nothing,negative,-1
6543,steel toe boots Good hear comfy Hopefully Kodiak Terra brand,positive,1
6544,yeah work 7 days,neutral,0
6545,I used row high school found rowing club ten minutes away I thought I sign,neutral,0
6546,Tom get ready Porto Alegre really cold,neutral,0
6547,haha mate btw seen film called american history x starring edward norton,neutral,0
6548,coffee,neutral,0
6549,go mail,neutral,0
6550,monday starts friday least I work 4 days week long days,neutral,0
6551,next time I might get time bus anything,neutral,0
6552,good morning hun loved movie happens vegas~ good movie,positive,1
6553,I sure wish mind could enter box called 'nothing men My brain go ... exhausting,negative,-1
6554,Sorry get projector working windoze laptop ton people came afterwards saw live,negative,-1
6555,Back homes hmm .. rly going miss boo 2 days like wtf,negative,-1
6556,Thank rec work,neutral,0
6557,Long day office Tiring week,negative,-1
6558,I sorry Andrew I wish something I could ...,negative,-1
6559,You going UK Take,neutral,0
6560,I really excited I Queen Bee Power Mom 50 List I feel really REALLY honored nielsenpowermoms,positive,1
6561,Palawan couple days ago try post pictures tom,neutral,0
6562,Clive birthday pat http //apps.facebook.com/dogbook/profile/view/6386106,neutral,0
6563,new episodes hitman reborn yet,neutral,0
6564,yay You twitter,positive,1
6565,Mucking Guitar Rig 3 The demo,neutral,0
6566,goood,positive,1
6567,Hmmm .... My whole body feels sore,negative,-1
6568,Wat nice day 2day rachel decided walk work walk back lol .. warm inside tho,positive,1
6569,I get motivated fact I know I wake productive I go I sleep though,positive,1
6570,You needed watch White House Correspondent Dinner That would cheered,positive,1
6571,I tired I think imma go bed,negative,-1
6572,No shoes,neutral,0
6573,I filing much less fun sorting cos still look hunt details,positive,1
6574,I WILL CRY I believe I lost chat,negative,-1
6575,We gon na able talk,negative,-1
6576,Cool Cant wait dustbin baby,positive,1
6577,17 Again actually quite good considering ... bed Long day tomorrow June 12th ... please come soon soon,positive,1
6578,hapee mother day mothers,positive,1
6579,GASP pulleaase dont hate u ask question dont answer ... given time cant see sorry,neutral,0
6580,Congrats bike ride today .. Very impressive indeed .. Ya might 'Tour De France day,positive,1
6581,haha Okay fun Haha,positive,1
6582,Today eventful ...,positive,1
6583,ohh realized still talking b like dat times ..,negative,-1
6584,wait get hands new blackberry one dying,negative,-1
6585,14 hours later I still drunk drive ... For shame letting drink much I peak spirits right,negative,-1
6586,know really wan na stuff im school next week ill free days week ... ill hit u,negative,-1
6587,little booboo sick,negative,-1
6588,Happy mothers day mothers,positive,1
6589,please everybody http //plurk.com/p/x32rz,neutral,0
6590,Omg I woke sleeping 3hrs arm aching ... It hurts bad,negative,-1
6591,wow hehehe mushy-mushy mode,positive,1
6592,Eh .. cold,neutral,0
6593,hey cant wait 4 u guys 2 come 2 jersey woop .... hope ur lookin 4ward 2 coz r x,positive,1
6594,Thanks good TV simple dollhouse,positive,1
6595,class color day tomorrow last time I lot remember tomorrow I bet I forget -_-,neutral,0
6596,good,positive,1
6597,Your post reminded sit something Looks like steak dinner,neutral,0
6598,Sturday night live,neutral,0
6599,I wov,neutral,0
6600,It smells badly garlic,negative,-1
6601,ok believe you.but belly button.lol,neutral,0
6602,Wow thanks lot I believe I think XD,positive,1
6603,wayyy funny well sure missing ever since left feel next visit,neutral,0
6604,AAAAARRRRGGGHHH huge spider towel pile cries glad Kerbear sorry mum cant bring rest,negative,-1
6605,looks Noida,neutral,0
6606,Daisy got attacked another doggie park,negative,-1
6607,Well completely lame I sorry dude,negative,-1
6608,watched one day middle playing -- REALLY hold,negative,-1
6609,_Charlotte We There another thrown I sure one American family,neutral,0
6610,im sorry dont wan na cuz u act u turn right around ignore,negative,-1
6611,_lantos Jeff Forcast tonight He says Saturday good 8:30 time If knowï¿½ A LIFE Saturdays,positive,1
6612,Just found I want able go see daddy tomorrow leaves Ty activity tomorrow morning sucks,negative,-1
6613,wut itell u yesterday lol,neutral,0
6614,Waiting car wash see say Amara,neutral,0
6615,got 34/40 exam 1 ... percentage doesnt look good,positive,1
6616,think mine hangers closet,neutral,0
6617,_carter It says video private,neutral,0
6618,think followin u 4 bout week yea kinda,neutral,0
6619,Just wanted point Youtube subscribers Tom Felton Thought might make happy,positive,1
6620,guys call `` BartÂ ofÂ theÂ criticalÂ questions `` I guessing good thing zeropoint.IT,positive,1
6621,I missed Match Game tonight I hope I make tomorrow night,negative,-1
6622,Guess 24-48 hour maintenance .. I sad I miss friends,negative,-1
6623,FALL ASLEEP ON ME AGAIN But I know feels LOL Drag Me To Hell tonight Quite excited,positive,1
6624,Happy Star Wars Day.every one ... may fourth,positive,1
6625,Can I mix match Dumb drive,negative,-1
6626,Heading hospital sort back looking forward,neutral,0
6627,feel u sooo close hard cant point ugh,negative,-1
6628,love jonas brothers trending topics maybe taylors turn next,positive,1
6629,Cant wait Cant wait see 3d concert experience live uk trailer cinema yesterday,positive,1
6630,feel like saying HAPPY BELATED BIRFDAYY .. month late,negative,-1
6631,"noboby behind I think I lead 14,8 far",positive,1
6632,Weekend quiet planning new websites Today research choosing hats Coffee hat sounds good though Kettle,positive,1
6633,aww hope uve hada good day xxxxx,positive,1
6634,I want new lappy,neutral,0
6635,Have great day ..... rain keeps I may go swimming instead dining,positive,1
6636,haha dont ever many times,neutral,0
6637,really really ready,neutral,0
6638,I vote stopped voting,neutral,0
6639,watching JONAS,neutral,0
6640,thing happens time,neutral,0
6641,30 minutes Happy Mothers Day alll amazing moms going bed,positive,1
6642,Aw named car sweet I sorry hear Petey go I hope find really posh rollerskate,neutral,0
6643,goodnight good bye hope best dreams,positive,1
6644,Hi bunny I recently subcribed channel YouTube You make great stuff Kinda wanted say hi,positive,1
6645,Installing new hard drive Got ta redo everything though,neutral,0
6646,Twitter officially BEST way advertise something,positive,1
6647,Unfortunately heffas decided take impromptu mall trip without telling,negative,-1
6648,Just saw land rover pull school parking lot thought spencer,neutral,0
6649,Raining Calicut,neutral,0
6650,commercial shoot Tokyo much time play quick dirty,neutral,0
6651,Sims 3 work old macbook hope get Sims 2 tomorrow,neutral,0
6652,_EN waiting Belgrade Can wait,neutral,0
6653,When I check google analytics I always get google.com/ Safari auto-fill kicks Makes laugh,positive,1
6654,Happy Mother Day Mom I love You,positive,1
6655,Looks like diamond ball,negative,-1
6656,Hmmm I realized .... I bday cake birthday ... boo hoo,positive,1
6657,least doesnt try violently hump like female dog,positive,1
6658,Early lunch getting dressed Amy confirmation,neutral,0
6659,Interview 177 views 22 away 200 Thanx reading ppl http //tiny.cc/GmKbT mattmccoy,positive,1
6660,might missed latest experiment I know blogs many words days http //tinyurl.com/ne6twc,neutral,0
6661,Ugh worried math test,negative,-1
6662,bsg might made cry,negative,-1
6663,planning mothers day special beloved mother,positive,1
6664,greeting happy mother day,positive,1
6665,Got ta love nasty weatherrrrr jealous ur knotts,neutral,0
6666,I fall asleep didnt get see jonas brothers web cast ... Still tierd,negative,-1
6667,haha .. good,positive,1
6668,Would like Nutella None,negative,-1
6669,I think I well Just time weekend,negative,-1
6670,awwww I waiting hope rain,positive,1
6671,My leg broke I waiting untile go,negative,-1
6672,_cali Good morning,positive,1
6673,Awww You Be Fine ...,positive,1
6674,really stop relying family say going get lunch,negative,-1
6675,Just finished first workout Jillian Michaels 30day making cut program Feeling great Hopefully eating good,positive,1
6676,No seriously guys I /wanted/ kick Monday starwarswithaddedpants spam Really,negative,-1
6677,Just got back Carlton Greenville Benz getting serviced Time make money I think I make sales calls ...,neutral,0
6678,_jean Now I think I get States probably still touring Dammit,negative,-1
6679,wouldnt let vote yesterday made today really hope u win cause everyone knows u deserve =D,positive,1
6680,parents sold car,neutral,0
6681,hah yeah bad gon na lie Have fun,negative,-1
6682,pleasure anytime,positive,1
6683,curses firewall/proxy server restrictions wait I get home,negative,-1
6684,Has Ruth today,neutral,0
6685,diesel yaris ... 70mpg sad available US That awesome,neutral,0
6686,Good morning MiaMiaDC My weekend great I Monday also great I hope wonderful day,positive,1
6687,When close I think running long I still chance see,neutral,0
6688,oh snap,neutral,0
6689,Good night everyone im going lay bed watch eraser,positive,1
6690,OH NO ZOMBIEPIX DON T FOLLOW ME ANYMORE ... NEED SOMEONE TO CHEER ME UP,positive,1
6691,Is Bored Home,negative,-1
6692,agree work double shift,neutral,0
6693,days summervac school comes along 2 end annual problem r generation finding good way 2 spend,neutral,0
6694,Oh please I wanted complete unfinished tweet 5 tweets cropped tweet looks dorky,negative,-1
6695,My cable signal messed I missing Ghostwhisperer In news I hurt toe cold like hot weather,negative,-1
6696,aww tessy wan na hug,positive,1
6697,Exams kinda near Just week 2 Projects yet submitted almost failing one subjects May ALLAH save,negative,-1
6698,Scary lightning thunder I glad Going sleep I hope I late school tomorow Haha,positive,1
6699,Nice idea M-I-L gift Did crochet Good idea looking online There Youtube videos showing lefty crochet,positive,1
6700,good job,positive,1
6701,M-Audio IE-30s I remembered much I 3 u right earbud ceased functioning My Shure r 2 bright w/ lame bass,neutral,0
6702,problemo Family Guy,positive,1
6703,London car 500 degrees air con,neutral,0
6704,Actually SoS VI accompanied Gliss Make Me The day Brandi Carlile busy month gigwise,neutral,0
6705,Okay I lied I meant time next week That sooo much longer I miss mommy ...,negative,-1
6706,If I transformer ... I step people hear squoosh But I I guess I cup coffee instead,neutral,0
6707,know This season zoomed,neutral,0
6708,thanks glad like,positive,1
6709,lazy sunday ... I love lazy days ...,positive,1
6710,On way Disneyland ... Without Retsi,neutral,0
6711,I fun tonight I leave ... Brandi Carlile Dallas today We sneak show,positive,1
6712,puppy shall loose um ... manly parts today poor guy ....,negative,-1
6713,Someone fly Reno,neutral,0
6714,packing cleaning getting done last day apartment time tomorrow storage,neutral,0
6715,tummy ache,negative,-1
6716,Yep Sleep-fail In another 7-8 hours D D-fail,negative,-1
6717,looking new ideas blog,neutral,0
6718,At work ... What miserable day,negative,-1
6719,BGT Will gutted finishes tomorrow Stavros Flatley way,negative,-1
6720,Less rain sunshine,neutral,0
6721,Thanks,positive,1
6722,Are going able buy 1 ticket online livenation tomorrow cant make LA,neutral,0
6723,ahh That sucks,negative,-1
6724,Aaaah see Prez Obama holding hands wifey Soooo romantic even White House .....,positive,1
6725,mcfonalds roulette lose forgot mygrilled snack wrap,negative,-1
6726,noooooooo miss sooooooo much gaah,negative,-1
6727,Had awesome pedicure today,positive,1
6728,Next thing tomorrow morning Temperature Check It gon na routine till Swine Flu dies Good Night everyone,positive,1
6729,Elena left morning Nine months spent living probably 2 years till I see Hmph,negative,-1
6730,tired get home till 5:30. work bjs 12:15,negative,-1
6731,No tonight,neutral,0
6732,full nice dinner,positive,1
6733,sunshine ... thing see clouds ...,neutral,0
6734,SCENE AT 4AM IS ALWAYS THE,negative,-1
6735,went bestbuy today found pretty much ever HP except one wanted look,positive,1
6736,I sitting work watching clock It moving fast enough,negative,-1
6737,First Happy Mothers Day Second makes us think way Why feel way feel I dont know wish,positive,1
6738,liking fake tan orange colour,positive,1
6739,bums really look big,neutral,0
6740,He got adjusting mate online shop ... Zzzzzzzzzzzzzzz ... Boring ...,negative,-1
6741,I saw US Postal hiring I done filling pre-application thingy show jobs open area,negative,-1
6742,well u around 2 twit,neutral,0
6743,enough I nothing 2 hours,neutral,0
6744,http //twitpic.com/677bi IVA already miss yoo sweet,negative,-1
6745,Chowder,negative,-1
6746,Yep,neutral,0
6747,sorry mo thought u work tomorrow go casino together,negative,-1
6748,Munch away dear Watson Munch away,neutral,0
6749,crazy would anyone follow Your tweets much fun,neutral,0
6750,Thank The best tomorrow ... I hope lovely day together,positive,1
6751,see ..... 08.08.09,neutral,0
6752,ready go Milan see ya evening ..,neutral,0
6753,hanging amber,neutral,0
6754,awww I hates wen families brokun humuns Maybee see agin wun day,negative,-1
